ID_CORRELATIVO,CODMES_x,FLG_BANCARIZADO,RANG_INGRESO,FLAG_LIMA_PROVINCIA,EDAD,ANTIGUEDAD,RANG_SDO_PASIVO_MENOS0,SDO_ACTIVO_MENOS0,SDO_ACTIVO_MENOS1,SDO_ACTIVO_MENOS2,SDO_ACTIVO_MENOS3,SDO_ACTIVO_MENOS4,SDO_ACTIVO_MENOS5,FLG_SEGURO_MENOS0,FLG_SEGURO_MENOS1,FLG_SEGURO_MENOS2,FLG_SEGURO_MENOS3,FLG_SEGURO_MENOS4,FLG_SEGURO_MENOS5,RANG_NRO_PRODUCTOS_MENOS0,FLG_NOMINA,NRO_ACCES_CANAL1_MENOS0,NRO_ACCES_CANAL1_MENOS1,NRO_ACCES_CANAL1_MENOS2,NRO_ACCES_CANAL1_MENOS3,NRO_ACCES_CANAL1_MENOS4,NRO_ACCES_CANAL1_MENOS5,NRO_ACCES_CANAL2_MENOS0,NRO_ACCES_CANAL2_MENOS1,NRO_ACCES_CANAL2_MENOS2,NRO_ACCES_CANAL2_MENOS3,NRO_ACCES_CANAL2_MENOS4,NRO_ACCES_CANAL2_MENOS5,NRO_ACCES_CANAL3_MENOS0,NRO_ACCES_CANAL3_MENOS1,NRO_ACCES_CANAL3_MENOS2,NRO_ACCES_CANAL3_MENOS3,NRO_ACCES_CANAL3_MENOS4,NRO_ACCES_CANAL3_MENOS5,NRO_ENTID_SSFF_MENOS0,NRO_ENTID_SSFF_MENOS1,NRO_ENTID_SSFF_MENOS2,NRO_ENTID_SSFF_MENOS3,NRO_ENTID_SSFF_MENOS4,NRO_ENTID_SSFF_MENOS5,FLG_SDO_OTSSFF_MENOS0,FLG_SDO_OTSSFF_MENOS1,FLG_SDO_OTSSFF_MENOS2,FLG_SDO_OTSSFF_MENOS3,FLG_SDO_OTSSFF_MENOS4,FLG_SDO_OTSSFF_MENOS5,TIPO_REQUERIMIENTO2,DICTAMEN,CODMES_y,PRODUCTO_SERVICIO_2,SUBMOTIVO_2
53259,202408,1,Rang_ingreso_03,Lima,29.0,8.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,6,0,2,1,4,0,3,2,0,3,3,5,14,0,0,9,1,10,3,4,3,4,4,4,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202403,Producto 01,Submotivo 125
53104,202408,0,Desconocido,Lima,57.0,2.0,Rango_SDO_02,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,4,0,0,0,1,0,0,0,0,0,0,3,3,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Reclamo,NO PROCEDE,202405,Producto 18,Submotivo 123
5720,202408,1,Rang_ingreso_03,Lima,28.0,1.0,Rango_SDO_04,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,1,6,4,4,3,1,3,5,6,5,7,4,9,1,2,2,2,0,1,1,1,1,1,2,2,0,0,0,0,0,0,Solicitud,PROCEDE TOTAL,202403,Producto 20,Submotivo 157
39512,202408,0,Rang_ingreso_01,Lima,23.0,3.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,17,17,9,8,0,0,0,0,0,0,0,0,0,0,0,0,Reclamo,PROCEDE TOTAL,202405,Producto 01,Submotivo 83
36445,202408,1,Rang_ingreso_01,Lima,27.0,2.0,Rango_SDO_06,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,6,6,5,4,4,4,7,0,0,0,0,0,14,19,19,18,9,17,5,5,5,5,5,5,1,1,1,1,1,1,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 125
32679,202408,1,Rang_ingreso_09,Lima,24.0,6.0,Rango_SDO_01,283240,283220,284920,286850,288500,290170,1,1,1,1,1,1,Rango_05,1,10,16,5,12,8,9,0,0,0,0,0,0,15,24,25,18,14,24,7,7,7,7,6,6,1,1,1,1,1,1,Reclamo,NO PROCEDE,202405,Producto 04,Submotivo 125
32679,202408,1,Rang_ingreso_09,Lima,24.0,6.0,Rango_SDO_01,283240,283220,284920,286850,288500,290170,1,1,1,1,1,1,Rango_05,1,10,16,5,12,8,9,0,0,0,0,0,0,15,24,25,18,14,24,7,7,7,7,6,6,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202403,Producto 20,Submotivo 43
53070,202408,1,Rang_ingreso_08,Lima,46.0,5.0,Rango_SDO_07,6350,4000,3820,3440,3900,4850,1,1,1,1,1,1,Rango_03,0,6,5,2,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,1,1,1,1,1,0,Reclamo,PROCEDE TOTAL,202408,Producto 17,Submotivo 106
53070,202408,1,Rang_ingreso_08,Lima,46.0,5.0,Rango_SDO_07,6350,4000,3820,3440,3900,4850,1,1,1,1,1,1,Rango_03,0,6,5,2,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,1,1,1,1,1,0,Reclamo,PROCEDE TOTAL,202405,Producto 07,Submotivo 140
33503,202408,1,Rang_ingreso_05,Lima,41.0,2.0,Rango_SDO_07,0,0,0,0,0,0,0,0,0,1,0,0,Rango_02,1,0,0,2,1,1,0,0,0,0,0,0,0,4,4,2,0,2,1,2,2,2,2,2,2,1,1,1,1,1,1,Reclamo,NO PROCEDE,202404,Producto 18,Submotivo 68
