ID_CORRELATIVO,CODMES_x,FLG_BANCARIZADO,RANG_INGRESO,FLAG_LIMA_PROVINCIA,EDAD,ANTIGUEDAD,ATTRITION,RANG_SDO_PASIVO_MENOS0,SDO_ACTIVO_MENOS0,SDO_ACTIVO_MENOS1,SDO_ACTIVO_MENOS2,SDO_ACTIVO_MENOS3,SDO_ACTIVO_MENOS4,SDO_ACTIVO_MENOS5,FLG_SEGURO_MENOS0,FLG_SEGURO_MENOS1,FLG_SEGURO_MENOS2,FLG_SEGURO_MENOS3,FLG_SEGURO_MENOS4,FLG_SEGURO_MENOS5,RANG_NRO_PRODUCTOS_MENOS0,FLG_NOMINA,NRO_ACCES_CANAL1_MENOS0,NRO_ACCES_CANAL1_MENOS1,NRO_ACCES_CANAL1_MENOS2,NRO_ACCES_CANAL1_MENOS3,NRO_ACCES_CANAL1_MENOS4,NRO_ACCES_CANAL1_MENOS5,NRO_ACCES_CANAL2_MENOS0,NRO_ACCES_CANAL2_MENOS1,NRO_ACCES_CANAL2_MENOS2,NRO_ACCES_CANAL2_MENOS3,NRO_ACCES_CANAL2_MENOS4,NRO_ACCES_CANAL2_MENOS5,NRO_ACCES_CANAL3_MENOS0,NRO_ACCES_CANAL3_MENOS1,NRO_ACCES_CANAL3_MENOS2,NRO_ACCES_CANAL3_MENOS3,NRO_ACCES_CANAL3_MENOS4,NRO_ACCES_CANAL3_MENOS5,NRO_ENTID_SSFF_MENOS0,NRO_ENTID_SSFF_MENOS1,NRO_ENTID_SSFF_MENOS2,NRO_ENTID_SSFF_MENOS3,NRO_ENTID_SSFF_MENOS4,NRO_ENTID_SSFF_MENOS5,FLG_SDO_OTSSFF_MENOS0,FLG_SDO_OTSSFF_MENOS1,FLG_SDO_OTSSFF_MENOS2,FLG_SDO_OTSSFF_MENOS3,FLG_SDO_OTSSFF_MENOS4,FLG_SDO_OTSSFF_MENOS5,TIPO_REQUERIMIENTO2,DICTAMEN,CODMES_y,PRODUCTO_SERVICIO_2,SUBMOTIVO_2
35653,201208,1,Rang_ingreso_06,Lima,25.0,6.0,0,Rango_SDO_09,0,0,0,0,0,0,1,1,1,1,1,1,Rango_04,0,2,1,0,2,4,1,8,11,14,12,8,12,3,0,1,6,2,5,2,1,1,1,1,1,1,0,0,0,0,0,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 145
56800,201208,1,Rang_ingreso_01,Provincia,34.0,4.0,0,Rango_SDO_02,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Reclamo,PROCEDE PARCIAL,202405,Producto 07,Submotivo 125
8410,201208,1,Rang_ingreso_04,Provincia,63.0,5.0,0,Rango_SDO_03,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,3,3,3,3,3,3,1,1,1,1,1,1,Solicitud,NO PROCEDE,202404,Producto 20,Submotivo 157
26877,201208,1,Rang_ingreso_06,Lima,26.0,7.0,0,Rango_SDO_07,0,0,0,0,0,0,1,1,1,1,1,1,Rango_04,1,0,2,1,3,8,8,16,20,19,15,17,15,10,32,19,13,15,11,5,5,5,5,5,5,0,1,0,1,1,1,Reclamo,NO PROCEDE,201208,Producto 17,Submotivo 31
26877,201208,1,Rang_ingreso_06,Lima,26.0,7.0,0,Rango_SDO_07,0,0,0,0,0,0,1,1,1,1,1,1,Rango_04,1,0,2,1,3,8,8,16,20,19,15,17,15,10,32,19,13,15,11,5,5,5,5,5,5,0,1,0,1,1,1,Reclamo,PROCEDE TOTAL,202407,Producto 07,Submotivo 140
89278,201208,1,Rang_ingreso_05,Lima,38.0,5.0,0,Rango_SDO_01,0,0,0,0,0,0,0,1,1,0,0,0,Rango_03,1,0,0,0,0,0,0,0,0,0,0,0,0,29,25,14,33,35,42,0,0,0,0,0,0,0,0,0,0,0,0,Reclamo,PROCEDE TOTAL,202407,Producto 17,Submotivo 89
71204,201208,1,Rang_ingreso_06,Lima,32.0,10.0,0,Rango_SDO_05,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,1,9,11,11,9,6,12,0,0,0,0,0,0,14,9,11,11,13,15,2,2,2,2,2,2,1,1,1,1,1,1,Solicitud,NO PROCEDE,202407,Producto 20,Submotivo 157
27248,201208,1,Rang_ingreso_01,Lima,33.0,3.0,0,Rango_SDO_03,22060,22520,20090,22710,19650,17080,1,1,1,1,1,1,Rango_03,0,2,2,5,1,0,2,4,1,0,0,2,7,0,0,0,0,3,5,4,4,5,5,5,5,1,1,1,1,1,1,Reclamo,NO PROCEDE,202407,Producto 18,Submotivo 67
27248,201208,1,Rang_ingreso_01,Lima,33.0,3.0,0,Rango_SDO_03,22060,22520,20090,22710,19650,17080,1,1,1,1,1,1,Rango_03,0,2,2,5,1,0,2,4,1,0,0,2,7,0,0,0,0,3,5,4,4,5,5,5,5,1,1,1,1,1,1,Reclamo,NO PROCEDE,202404,Producto 20,Submotivo 125
27248,201208,1,Rang_ingreso_01,Lima,33.0,3.0,0,Rango_SDO_03,22060,22520,20090,22710,19650,17080,1,1,1,1,1,1,Rango_03,0,2,2,5,1,0,2,4,1,0,0,2,7,0,0,0,0,3,5,4,4,5,5,5,5,1,1,1,1,1,1,Reclamo,NO PROCEDE,202403,Producto 20,Submotivo 125
79319,201208,1,Rang_ingreso_06,Provincia,30.0,4.0,0,Rango_SDO_08,9790,10000,3000,0,0,0,1,1,1,1,1,1,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,10,7,10,1,1,1,1,1,1,0,0,0,0,0,0,Solicitud,PROCEDE TOTAL,202407,Producto 07,Submotivo 144
56111,201208,1,Rang_ingreso_09,Lima,27.0,8.0,0,Rango_SDO_07,0,0,0,410,1150,850,1,1,1,1,1,1,Rango_03,1,0,0,0,1,1,0,8,9,11,13,10,16,13,11,11,10,10,13,2,2,3,3,3,3,1,1,1,1,0,0,Reclamo,NO PROCEDE,202406,Producto 17,Submotivo 89
3677,201208,1,Rang_ingreso_02,Lima,24.0,5.0,0,Rango_SDO_06,490,690,0,0,0,1100,1,1,1,1,1,1,Rango_04,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,1,1,1,1,1,1,Solicitud,NO PROCEDE,202406,Producto 20,Submotivo 157
84477,201208,1,Rang_ingreso_05,Lima,47.0,4.0,0,Rango_SDO_02,8790,0,0,840,3730,1880,1,1,1,1,1,1,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,1,1,1,1,1,1,Reclamo,NO PROCEDE,202404,Producto 17,Submotivo 92
51667,201208,1,Rang_ingreso_02,Lima,38.0,1.0,1,Cero,25330,28020,6770,0,0,0,1,1,1,0,0,0,Rango_03,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reclamo,PROCEDE TOTAL,202406,Producto 07,Submotivo 125
24472,201208,1,Rang_ingreso_05,Lima,33.0,8.0,0,Cero,90,260,240,40,0,0,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,1,1,1,1,1,1,Solicitud,NO PROCEDE,202406,Producto 20,Submotivo 157
99427,201208,0,Desconocido,Lima,25.0,6.0,0,Rango_SDO_03,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,3,7,10,7,0,0,0,0,0,0,0,0,0,0,0,0,Solicitud,PROCEDE TOTAL,202405,Producto 07,Submotivo 144
78497,201208,1,Rang_ingreso_01,Lima,57.0,10.0,0,Cero,2030,2180,2320,2450,2590,2720,0,0,1,1,1,1,Rango_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,1,1,1,1,1,1,Solicitud,NO PROCEDE,202406,Producto 20,Submotivo 157
83751,201208,1,Rang_ingreso_06,Lima,24.0,1.0,0,Cero,15090,15790,16340,17110,17810,0,1,1,1,1,1,1,Rango_04,0,0,4,3,5,6,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,1,1,1,1,1,1,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 156
74275,201208,1,Rang_ingreso_03,Lima,26.0,5.0,1,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_02,0,0,1,0,0,0,0,4,9,5,4,5,5,0,0,1,0,0,1,2,3,2,2,2,2,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,201208,Producto 20,Submotivo 125
28607,201208,0,Rang_ingreso_01,Provincia,32.0,1.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,2,0,3,3,1,2,0,0,0,0,0,0,3,5,2,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,Solicitud,PROCEDE TOTAL,202405,Producto 07,Submotivo 144
73207,201208,1,Rang_ingreso_03,Lima,23.0,3.0,0,Rango_SDO_04,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,1,1,4,1,2,4,6,2,4,0,6,8,7,13,14,15,18,27,13,1,2,2,2,1,1,1,1,1,1,0,0,Solicitud,PROCEDE TOTAL,202404,Producto 07,Submotivo 144
51177,201208,1,Rang_ingreso_03,Provincia,25.0,1.0,0,Rango_SDO_01,9030,9310,9630,9910,10240,10650,1,1,1,1,1,1,Rango_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,3,3,3,3,0,0,1,1,1,1,Reclamo,PROCEDE PARCIAL,201208,Producto 05,Submotivo 125
86026,201208,1,Rang_ingreso_05,Lima,26.0,6.0,0,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,1,1,1,1,1,1,Reclamo,NO PROCEDE,202405,Producto 20,Submotivo 125
86026,201208,1,Rang_ingreso_05,Lima,26.0,6.0,0,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,1,1,1,1,1,1,Reclamo,NO PROCEDE,202404,Producto 20,Submotivo 142
86862,201208,1,Rang_ingreso_07,Lima,38.0,10.0,0,Rango_SDO_11,750,410,3110,660,1720,2030,1,1,1,1,1,1,Rango_04,1,7,6,7,9,4,8,0,0,0,0,0,0,10,11,16,9,6,10,4,4,4,4,4,4,1,1,0,1,1,0,Solicitud,NO PROCEDE,202406,Producto 20,Submotivo 157
86862,201208,1,Rang_ingreso_07,Lima,38.0,10.0,0,Rango_SDO_11,750,410,3110,660,1720,2030,1,1,1,1,1,1,Rango_04,1,7,6,7,9,4,8,0,0,0,0,0,0,10,11,16,9,6,10,4,4,4,4,4,4,1,1,0,1,1,0,Reclamo,PROCEDE TOTAL,202406,Producto 20,Submotivo 125
3163,201208,1,Rang_ingreso_03,Lima,30.0,9.0,0,Rango_SDO_07,0,0,0,0,0,0,1,1,1,1,1,1,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,36,39,30,31,40,31,1,1,1,1,1,1,0,0,0,0,0,0,Reclamo,NO PROCEDE,202405,Producto 20,Submotivo 125
11029,201208,1,Desconocido,Lima,57.0,5.0,0,Rango_SDO_02,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,6,1,3,4,1,1,1,1,1,1,0,0,0,0,0,0,Reclamo,PROCEDE TOTAL,201208,Producto 01,Submotivo 146
66036,201208,1,Rang_ingreso_03,Lima,51.0,8.0,0,Rango_SDO_07,2660,2090,0,0,20,140,1,1,1,1,1,1,Rango_04,1,7,5,5,5,5,6,0,0,0,0,0,0,6,7,5,8,15,4,5,5,5,5,5,5,1,1,1,1,1,1,Reclamo,NO PROCEDE,202407,Producto 18,Submotivo 67
79037,201208,1,Rang_ingreso_07,Provincia,39.0,5.0,0,Rango_SDO_14,0,0,0,0,0,0,1,1,1,1,0,0,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,3,3,3,2,1,1,0,0,0,0,0,0,Reclamo,PROCEDE TOTAL,202406,Producto 20,Submotivo 88
23867,201208,1,Rang_ingreso_06,Provincia,28.0,4.0,0,Rango_SDO_04,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,4,1,4,4,1,7,0,0,0,0,0,0,16,19,12,23,18,21,1,1,1,1,1,1,0,0,0,0,0,0,Reclamo,NO PROCEDE,202405,Producto 18,Submotivo 68
9260,201208,1,Rang_ingreso_06,Lima,31.0,5.0,0,Rango_SDO_07,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,0,0,2,2,1,3,0,0,0,0,0,0,30,35,25,23,38,34,2,2,2,2,2,3,0,0,0,0,0,1,Reclamo,PROCEDE TOTAL,202406,Producto 07,Submotivo 141
9260,201208,1,Rang_ingreso_06,Lima,31.0,5.0,0,Rango_SDO_07,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,0,0,2,2,1,3,0,0,0,0,0,0,30,35,25,23,38,34,2,2,2,2,2,3,0,0,0,0,0,1,Reclamo,NO PROCEDE,202404,Producto 18,Submotivo 125
66415,201208,1,Desconocido,Lima,49.0,3.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,1,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,Reclamo,NO PROCEDE,201208,Producto 07,Submotivo 125
96414,201208,1,Rang_ingreso_09,Lima,32.0,8.0,0,Rango_SDO_14,616400,621450,624280,40290,0,1500,1,1,1,1,1,1,Rango_04,0,0,0,0,0,0,0,3,3,0,3,3,9,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Reclamo,NO PROCEDE,201208,Producto 17,Submotivo 101
73708,201208,1,Rang_ingreso_06,Provincia,45.0,8.0,1,Cero,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,Solicitud,PROCEDE TOTAL,201208,Producto 07,Submotivo 160
13813,201208,1,Rang_ingreso_05,Provincia,49.0,1.0,1,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,6,6,6,6,1,1,1,1,1,1,Solicitud,NO PROCEDE,201208,Producto 20,Submotivo 157
35478,201208,1,Rang_ingreso_03,Lima,39.0,8.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,9,11,1,1,1,7,0,0,0,0,0,0,18,16,12,14,10,7,5,5,5,5,5,5,1,1,1,1,1,1,Reclamo,NO PROCEDE,202405,Producto 18,Submotivo 67
21573,201208,1,Rang_ingreso_02,Lima,45.0,3.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,21,14,20,15,14,8,3,3,3,3,3,3,1,1,1,1,1,1,Reclamo,NO PROCEDE,202405,Producto 01,Submotivo 85
